"What animal eats mainly bamboo?	",Panda
What is the only mammals that can’t jump?,Elephant
What animal is said to have 9 lives?,Cat
"What’s a group of kittens called?	",Kindle
A baby goat is called what?,Kid
How long does it take a sloth to digest a meal?,Two weeks
How long does it take a sloth to digest a meal?,4
Which animal’s stripes are on their skin as well as their fur?,Tiger
"Which animal is known to spend 90% of its day, sleeping?",Koalas
How long is an elephant pregnant before it gives birth?,22 Months.
What reptile is known for the ability to change its body color?,Chameleon
What’s the name of the largest snake in the world?,Anaconda
Are most reptiles cold-blooded or warm-blooded?,Cold-blooded.
What animal breathes out of its butt?,Turtles
What kind of animal is a Komodo dragon?,A lizard
How many legs do cockroaches have?,6
Why do crickets rub their wings together?,To attract a mate
Which ant has the most painful sting?,Bullet ant.
What is the only animal to sleep on its back?,humans
Lionel Messi and Cristiano Ronaldo are often called the greatest of all time – but what farm animal connects them?,Goat
What colour is hippo sweat?,Pink
What animal is the closest living relative to the T-Rex?,Chicken
What type of bear has a bite that is said to be strong enough to break a bowling ball?,Grizzly.
"In Rome, which animal is protected under the law?",Cats are highly protected in rome
Which type of animal is known to be the fastest bird in the world?, The Peregrine Falcon.
Which Mammal Has The Most Powerful Bite In The World?,Hippopotamus
Who Is The World’s Fastest Land Animal?,Cheetah
What Color Is Octopus Blood?,Blue
Which Insects Cause Malaria?,Mosquito
How Many Bones Does A Shark Have?,0
What Is The Size Of Kangaroo Babies When They Are Born?,1 inch
Which Animal Has The Longest Lifespan?,Arctic whale
Black Cats Are Known For What Superstitious Belief? ,Bad luck
Which animal is the tallest in the world?,Giraffe
What animal is known to be ‘man’s best friend ,Dog
